"Method","Seed","Step","Accuracy","LMLoss","Exact"
"attention","0","1250","0.430925935506821","1.44611036777496","0"
"attention","0","2500","0.438086479902267","1.40931439399719","0"
"attention","0","3750","0.448333293199539","1.38994181156158","0"
"attention","0","5000","0.44901230931282","1.37233948707581","0"
"attention","0","6250","0.455555498600006","1.35965073108673","0"
"attention","0","7500","0.457098782062531","1.34533679485321","0"
"attention","0","8750","0.461851894855499","1.33562648296356","0"
"attention","0","10000","0.467283934354782","1.32396173477173","0"
"attention","1","1250","0.427160441875458","1.44530117511749","0"
"attention","1","2500","0.431728363037109","1.42143511772156","0"
"attention","1","3750","0.401234596967697","1.49499499797821","0"
"attention","1","5000","0.443271547555923","1.39288508892059","0"
"attention","1","6250","0.448024660348892","1.3761214017868","0"
"attention","1","7500","0.447283983230591","1.37454462051392","0"
"attention","1","8750","0.453518450260162","1.35697281360626","0"
"attention","1","10000","0.452407449483871","1.35358417034149","0"
"attention","2","1250","0.427283972501755","1.4504359960556","0"
"attention","2","2500","0.433580249547958","1.43312931060791","0"
"attention","2","3750","0.436111152172089","1.40366291999817","0"
"attention","2","5000","0.444012343883514","1.3983154296875","0"
"attention","2","6250","0.442901343107224","1.38695323467255","0"
"attention","2","7500","0.455370455980301","1.37077343463898","0"
"attention","2","8750","0.452654242515564","1.3662303686142","0"
"attention","2","10000","0.453086465597153","1.36269342899323","0"
"attention","3","1250","0.427160501480103","1.45834076404572","0"
"attention","3","2500","0.432283997535706","1.42210054397583","0"
"attention","3","3750","0.436604917049408","1.39886677265167","0"
"attention","3","5000","0.437901198863983","1.39105677604675","0"
"attention","3","6250","0.437592536211014","1.38590252399445","0"
"attention","3","7500","0.442963004112244","1.35515761375427","0"
"attention","3","8750","0.436296224594116","1.36936473846436","0"
"attention","3","10000","0.431172877550125","1.38208150863647","0"
"attention","4","1250","0.428333401679993","1.44611728191376","0"
"attention","4","2500","0.442962914705276","1.41089344024658","0"
"attention","4","3750","0.446604907512665","1.37534928321838","0"
"attention","4","5000","0.452901184558868","1.34636723995209","0"
"attention","4","6250","0.436111003160477","1.38365697860718","0"
"attention","4","7500","0.458950608968735","1.31985545158386","0"
"attention","4","8750","0.470000028610229","1.30344939231873","0"
"attention","4","10000","0.469012349843979","1.29904079437256","0"
"gated","0","1250","0.428950607776642","1.44747722148895","0"
"gated","0","2500","0.430123448371887","1.42445433139801","0"
"gated","0","3750","0.435617357492447","1.39461088180542","0"
"gated","0","5000","0.437160581350327","1.38922023773193","0"
"gated","0","6250","0.448703646659851","1.35282552242279","0"
"gated","0","7500","0.457407504320145","1.33464968204498","0"
"gated","0","8750","0.458827167749405","1.32100832462311","0"
"gated","0","10000","0.461728274822235","1.31444537639618","0"
"gated","1","1250","0.430370420217514","1.45410168170929","0"
"gated","1","2500","0.430308699607849","1.42930293083191","0"
"gated","1","3750","0.438333332538605","1.40269899368286","0"
"gated","1","5000","0.445123434066772","1.39541685581207","0"
"gated","1","6250","0.452345609664917","1.36470782756805","0"
"gated","1","7500","0.435123413801193","1.39910733699799","0"
"gated","1","8750","0.449259251356125","1.358238697052","0"
"gated","1","10000","0.458765476942062","1.33504474163055","0"
"gated","2","1250","0.425246834754944","1.46196639537811","0"
"gated","2","2500","0.430308520793915","1.46440088748932","0"
"gated","2","3750","0.441728353500366","1.41874086856842","0"
"gated","2","5000","0.440308719873428","1.38693618774414","0"
