attention_entropy,attention_expected_lookback,attention_non_adjacent_mass,box_violations,cell_accuracy,column_violations,exact_accuracy,incorrect_cells,intervention,parameters,peak_vram_bytes,row_violations,seed,throughput_examples_per_second,variant,wall_time_seconds
,,,7.987,0.6392222222222229,8.11,0.012,29.223,gaussian_0.05,1710082,101244928,7.573,1,70.57146316339376,B0,22.33644412411377
,,,7.993,0.6392469135802472,8.099,0.012,29.221,gaussian_0.10,1710082,101244928,7.584,1,70.58638831283739,B0,22.385119007900357
,,,7.98,0.6388888888888895,8.111,0.012,29.25,gaussian_0.20,1710082,101244928,7.577,1,70.42465370037951,B0,22.392971656285226
,,,7.984,0.6393580246913587,8.099,0.012,29.212,clean,1710082,97803776,7.59,1,66.988588150358,B0,23.14536742400378
,,,6.888,0.6700987654320995,6.546,0.016,26.722,gaussian_0.05,1710082,101244928,6.594,2,69.61203851360936,B0,23.15186265297234
,,,6.881,0.6703703703703711,6.544,0.016,26.7,gaussian_0.10,1710082,101244928,6.573,2,69.1413839680067,B0,23.105668344069272
,,,6.897,0.6699753086419766,6.55,0.016,26.732,gaussian_0.20,1710082,101244928,6.569,2,67.21668146854994,B0,23.819587672129273
,,,6.89,0.6702098765432107,6.563,0.016,26.713,clean,1710082,97803776,6.583,2,66.70674605811433,B0,23.77750850794837
,,,7.821,0.6491234567901225,7.826,0.013,28.421,gaussian_0.05,1775619,102605312,7.348,1,59.7256489587534,B3,24.98819088190794
,,,7.831,0.6487530864197519,7.835,0.013,28.451,gaussian_0.10,1775619,102605312,7.357,1,59.91898385388783,B3,24.906691767740995
,,,7.83,0.6488395061728384,7.833,0.013,28.444,gaussian_0.20,1775619,102605312,7.362,1,59.79185062262628,B3,24.937750067096204
,,,7.829,0.6490864197530857,7.838,0.013,28.424,clean,1775619,99426304,7.345,1,60.668412828850926,B3,24.57146557699889
,,,7.16,0.6595679012345674,7.074,0.015,27.575,gaussian_0.05,1775619,102605312,6.856,2,59.22874179350985,B3,25.537649945821613
,,,7.158,0.6594074074074063,7.073,0.015,27.588,gaussian_0.10,1775619,102605312,6.84,2,58.368534241509,B3,25.772901008836925
,,,7.162,0.6592592592592588,7.074,0.015,27.6,gaussian_0.20,1775619,102605312,6.862,2,58.54176083162424,B3,25.823757462203503
,,,7.14,0.6597777777777767,7.068,0.015,27.558,clean,1775619,99426304,6.861,2,59.363391863611454,B3,25.470880888868123
,,,7.326,0.658716049382716,7.224,0.014,27.644,gaussian_0.05,1710083,115699200,6.961,1,61.3461871242554,Gated,24.555497956927866
,,,7.327,0.6587407407407408,7.229,0.013,27.642,gaussian_0.10,1710083,115699200,6.978,1,62.16634585049484,Gated,24.185389737132937
,,,7.326,0.6585679012345681,7.235,0.013,27.656,gaussian_0.20,1710083,115699200,6.982,1,61.58951822172298,Gated,24.480064963921905
,,,7.326,0.6584567901234571,7.229,0.014,27.665,clean,1710083,112258048,6.952,1,60.58093531096554,Gated,24.85273206513375
,,,7.167,0.6652716049382716,6.874,0.019,27.113,gaussian_0.05,1710083,115437056,6.761,2,45.949454116486834,Gated,34.05119061842561
,,,7.177,0.664925925925926,6.885,0.017,27.141,gaussian_0.10,1710083,115437056,6.769,2,48.43218536248865,Gated,31.866813782136887
,,,7.158,0.6655308641975306,6.889,0.019,27.092,gaussian_0.20,1710083,115437056,6.741,2,61.013502002334036,Gated,25.020198221784085
,,,7.168,0.6648518518518518,6.886,0.018,27.147,clean,1710083,112258048,6.759,2,59.922877835783545,Gated,25.464225077070296
0.750175061635673,2.3280565117796264,0.6293211389953891,7.159,0.6690123456790125,6.868,0.018,26.81,delete_least_attended,1775619,99093504,6.858,1,30.549020823511658,P1,40.831179022789
0.7688917523870865,2.163323897868395,0.5848019421100616,7.182,0.6687160493827171,6.881,0.017,26.834,delete_most_attended,1775619,99093504,6.878,1,31.12628273099889,P1,40.17251007491723
1.0358852160473664,2.3060188169280686,0.603182070578138,7.161,0.6687901234567908,6.843,0.019,26.828,gaussian_0.05,1775619,102981120,6.864,1,32.694362401656235,P1,38.553777664434165
1.0355685083195567,2.3060520477592945,0.6032084735731283,7.162,0.6688518518518523,6.84,0.018,26.823,gaussian_0.10,1775619,102981120,6.851,1,32.81425569053025,P1,38.298019863665104
1.0345124285668135,2.3060163110494614,0.6032660448302826,7.162,0.6690987654320998,6.859,0.019,26.803,gaussian_0.20,1775619,102981120,6.843,1,32.733842197207345,P1,38.589626161847264
1.0360259199514985,2.3056698478758335,0.6030866634100676,7.15,0.6692592592592597,6.852,0.018,26.79,clean,1775619,99093504,6.869,1,31.591758427475177,P1,39.74097078293562
0.7317141199794909,2.268345355987549,0.6029647175843517,8.172,0.631172839506173,8.362,0.004,29.875,delete_least_attended,1775619,99093504,7.934,2,30.444965018941065,P1,41.541552817914635
0.7581350517769655,2.1581656945248446,0.5796449654735625,8.181,0.6312222222222222,8.375,0.005,29.871,delete_most_attended,1775619,99093504,7.924,2,23.14784184601327,P1,55.67478368617594
1.001287384269138,2.301418830951055,0.5976212921862801,8.185,0.6309506172839506,8.371,0.004,29.893,gaussian_0.05,1775619,104193536,7.938,2,32.01344205792283,P1,40.19507292844355
0.9996281738082567,2.3015238692363105,0.5976599066828688,8.188,0.6310123456790125,8.384,0.004,29.888,gaussian_0.10,1775619,104193536,7.937,2,30.88661369071231,P1,41.25714220898226
0.9945937115699053,2.301642199357351,0.5977042354643345,8.2,0.6310123456790119,8.39,0.004,29.888,gaussian_0.20,1775619,104193536,7.946,2,31.33513882876293,P1,40.73683785600588
1.0019087536881368,2.3013555767635503,0.5975970523431897,8.185,0.630703703703704,8.358,0.004,29.913,clean,1775619,99093504,7.935,2,30.26601329740281,P1,42.08092942740768
