attention_entropy,attention_expected_lookback,attention_non_adjacent_mass,box_violations,cell_accuracy,column_violations,exact_accuracy,incorrect_cells,intervention,parameters,peak_vram_bytes,row_violations,seed,throughput_examples_per_second,variant,wall_time_seconds
,,,7.482,0.6790617283950616,7.289,0.026,25.996,gaussian_0.05,1710082,128065024,7.331,0,33.9800733913976,B0,57.75136571800249
,,,7.483,0.6790123456790124,7.288,0.025,26.0,gaussian_0.10,1710082,128065024,7.335,0,33.799827054394505,B0,57.955488464001974
,,,7.489,0.6789259259259258,7.301,0.025,26.007,gaussian_0.20,1710082,128065024,7.339,0,33.66570555136134,B0,58.04610522300209
,,,7.48,0.6789382716049382,7.294,0.025,26.006,clean,1710082,121707520,7.331,0,34.14161712462803,B0,57.64701814799628
,,,8.23,0.6385185185185185,7.994,0.016,29.28,gaussian_0.05,1775619,131276800,7.965,0,31.45665695360597,B3,59.96598257100413
,,,8.228,0.6387654320987655,8.002,0.016,29.26,gaussian_0.10,1775619,131276800,7.967,0,31.465110862649755,B3,60.11225440300041
,,,8.219,0.6387654320987655,7.993,0.016,29.26,gaussian_0.20,1775619,131276800,7.955,0,31.453531338841728,B3,59.953708485998504
,,,8.219,0.6386419753086419,7.995,0.016,29.27,clean,1775619,124919296,7.967,0,31.489246440078794,B3,59.88842526100052
,,,8.248,0.6430370370370371,8.179,0.016,28.914,gaussian_0.05,1710083,143434752,8.005,0,29.157474844290046,Gated,62.50232093100203
,,,8.249,0.6431358024691358,8.186,0.016,28.906,gaussian_0.10,1710083,143434752,8.014,0,29.14181411607615,Gated,62.484171370000695
,,,8.248,0.6432222222222221,8.188,0.016,28.899,gaussian_0.20,1710083,143434752,8.004,0,29.15732357551691,Gated,62.48011925500032
,,,8.251,0.6426296296296297,8.181,0.016,28.947,clean,1710083,137077248,8.01,0,29.280170858081284,Gated,62.35490075200505
0.7295592615846545,2.232315703528002,0.5735664624953642,7.689,0.6715308641975308,7.563,0.019,26.606,delete_least_attended,1775619,113803776,7.448,0,20.33860150833179,P1,77.45168841900158
0.73735032370314,2.243015233660117,0.5885740388766862,7.687,0.6711358024691358,7.571,0.019,26.638,delete_most_attended,1775619,113803776,7.458,0,20.08936648973847,P1,78.18448481599626
1.000854023557622,2.278492999728769,0.5966066274559125,7.691,0.6714567901234568,7.57,0.019,26.612,gaussian_0.05,1775619,119948288,7.445,0,20.874808185467092,P1,76.25224275900109
0.9972333731129766,2.2787241241894662,0.5967023747507483,7.693,0.6717283950617284,7.566,0.019,26.59,gaussian_0.10,1775619,119948288,7.446,0,20.98478089576483,P1,76.01399859900266
0.9852317881304771,2.2792669907212257,0.5969237765530124,7.695,0.6719753086419753,7.568,0.019,26.57,gaussian_0.20,1775619,119948288,7.446,0,20.97699106596036,P1,76.0033229729961
1.0022417666041292,2.2784015834331512,0.5965721873799339,7.69,0.6715802469135802,7.562,0.019,26.602,clean,1775619,113803776,7.446,0,20.77835783081847,P1,76.39082665800379
