attention_entropy_mean,attention_entropy_std,attention_expected_lookback_mean,attention_expected_lookback_std,attention_non_adjacent_mass_mean,attention_non_adjacent_mass_std,box_violations_mean,box_violations_std,cell_accuracy_mean,cell_accuracy_std,column_violations_mean,column_violations_std,exact_accuracy_mean,exact_accuracy_std,incorrect_cells_mean,incorrect_cells_std,intervention,parameters_mean,parameters_std,peak_vram_bytes_mean,peak_vram_bytes_std,row_violations_mean,row_violations_std,seed_count,throughput_examples_per_second_mean,throughput_examples_per_second_std,variant,wall_time_seconds_mean,wall_time_seconds_std
,,,,,,7.937,0.0,0.6373827160493827,0.0,8.134,0.0,0.009,0.0,29.372,0.0,clean,1710082.0,0.0,121707520.0,0.0,7.668,0.0,1,54.11548714852564,0.0,B0,29.053754566000862,0.0
,,,,,,7.928,0.0,0.6374567901234568,0.0,8.136,0.0,0.009,0.0,29.366,0.0,gaussian_0.05,1710082.0,0.0,127802880.0,0.0,7.667,0.0,1,54.474881378898424,0.0,B0,28.969001491997915,0.0
,,,,,,7.929,0.0,0.6376913580246913,0.0,8.137,0.0,0.009,0.0,29.347,0.0,gaussian_0.10,1710082.0,0.0,127802880.0,0.0,7.673,0.0,1,50.35214743841585,0.0,B0,30.456364949001,0.0
,,,,,,7.937,0.0,0.6375308641975308,0.0,8.139,0.0,0.009,0.0,29.36,0.0,gaussian_0.20,1710082.0,0.0,127802880.0,0.0,7.66,0.0,1,56.1614621860169,0.0,B0,28.416745383998204,0.0
,,,,,,7.87,0.0,0.6434074074074074,0.0,8.009,0.0,0.001,0.0,28.884,0.0,clean,1775619.0,0.0,124624384.0,0.0,7.456,0.0,1,84.29687108617983,0.0,B3,22.395344807002402,0.0
,,,,,,7.871,0.0,0.6432716049382716,0.0,8.007,0.0,0.001,0.0,28.895,0.0,gaussian_0.05,1775619.0,0.0,131276800.0,0.0,7.451,0.0,1,84.04730352206559,0.0,B3,22.482233558999724,0.0
,,,,,,7.891,0.0,0.6431358024691358,0.0,8.01,0.0,0.001,0.0,28.906,0.0,gaussian_0.10,1775619.0,0.0,131276800.0,0.0,7.456,0.0,1,84.19148322325226,0.0,B3,22.49088892600048,0.0
,,,,,,7.877,0.0,0.6428641975308642,0.0,8.013,0.0,0.001,0.0,28.928,0.0,gaussian_0.20,1775619.0,0.0,131276800.0,0.0,7.443,0.0,1,84.15011408792898,0.0,B3,22.387979366001673,0.0
,,,,,,7.155,0.0,0.6654567901234568,0.0,6.785,0.0,0.012,0.0,27.098,0.0,clean,1710083.0,0.0,137077248.0,0.0,6.809,0.0,1,78.8313440794983,0.0,Gated,23.33993965300033,0.0
,,,,,,7.158,0.0,0.665283950617284,0.0,6.781,0.0,0.012,0.0,27.112,0.0,gaussian_0.05,1710083.0,0.0,143434752.0,0.0,6.814,0.0,1,78.59697179448298,0.0,Gated,23.329819388000033,0.0
,,,,,,7.15,0.0,0.6654444444444445,0.0,6.776,0.0,0.013,0.0,27.099,0.0,gaussian_0.10,1710083.0,0.0,143434752.0,0.0,6.812,0.0,1,78.32106854694601,0.0,Gated,23.695030417999078,0.0
,,,,,,7.137,0.0,0.6651358024691358,0.0,6.773,0.0,0.013,0.0,27.124,0.0,gaussian_0.20,1710083.0,0.0,143434752.0,0.0,6.798,0.0,1,78.07059997295048,0.0,Gated,23.699662406001153,0.0
1.0117093411584694,0.0,2.3143187450865903,0.0,0.6021175030618906,0.0,8.032,0.0,0.6389876543209877,0.0,8.142,0.0,0.009,0.0,29.242,0.0,clean,1775619.0,0.0,113478144.0,0.0,7.658,0.0,1,42.14370563648292,0.0,P1,34.23273052500008,0.0
0.7435189671814442,0.0,2.293452732885877,0.0,0.6146708337279657,0.0,8.037,0.0,0.639074074074074,0.0,8.146,0.0,0.009,0.0,29.235,0.0,delete_least_attended,1775619.0,0.0,113478144.0,0.0,7.657,0.0,1,54.23523751565487,0.0,P1,28.856162280000717,0.0
0.7426138754623631,0.0,2.107556518788139,0.0,0.5637390532841285,0.0,8.043,0.0,0.6394444444444445,0.0,8.126,0.0,0.009,0.0,29.205,0.0,delete_most_attended,1775619.0,0.0,113478144.0,0.0,7.677,0.0,1,53.70859651171384,0.0,P1,29.069208495002385,0.0
1.0115390283366044,0.0,2.3143086284399033,0.0,0.6021164801592628,0.0,8.031,0.0,0.6391111111111111,0.0,8.147,0.0,0.009,0.0,29.232,0.0,gaussian_0.05,1775619.0,0.0,120130560.0,0.0,7.662,0.0,1,56.31763684081068,0.0,P1,28.164523122999526,0.0
1.0110428119078279,0.0,2.314280841499567,0.0,0.6021151722719272,0.0,8.032,0.0,0.639074074074074,0.0,8.142,0.0,0.009,0.0,29.235,0.0,gaussian_0.10,1775619.0,0.0,120130560.0,0.0,7.68,0.0,1,53.814635637361675,0.0,P1,29.714551666998887,0.0
1.0091884390761454,0.0,2.3141941279172897,0.0,0.6021182645733157,0.0,8.04,0.0,0.6390864197530863,0.0,8.144,0.0,0.009,0.0,29.234,0.0,gaussian_0.20,1775619.0,0.0,120130560.0,0.0,7.678,0.0,1,52.757541701584806,0.0,P1,30.323401523997745,0.0
