attention_entropy,attention_expected_lookback,attention_non_adjacent_mass,box_violations,cell_accuracy,column_violations,exact_accuracy,incorrect_cells,intervention,parameters,peak_vram_bytes,row_violations,seed,throughput_examples_per_second,variant,wall_time_seconds
,,,7.928,0.6374567901234568,8.136,0.009,29.366,gaussian_0.05,1710082,127802880,7.667,0,54.474881378898424,B0,28.969001491997915
,,,7.929,0.6376913580246913,8.137,0.009,29.347,gaussian_0.10,1710082,127802880,7.673,0,50.35214743841585,B0,30.456364949001
,,,7.937,0.6375308641975308,8.139,0.009,29.36,gaussian_0.20,1710082,127802880,7.66,0,56.1614621860169,B0,28.416745383998204
,,,7.937,0.6373827160493827,8.134,0.009,29.372,clean,1710082,121707520,7.668,0,54.11548714852564,B0,29.053754566000862
,,,7.871,0.6432716049382716,8.007,0.001,28.895,gaussian_0.05,1775619,131276800,7.451,0,84.04730352206559,B3,22.482233558999724
,,,7.891,0.6431358024691358,8.01,0.001,28.906,gaussian_0.10,1775619,131276800,7.456,0,84.19148322325226,B3,22.49088892600048
,,,7.877,0.6428641975308642,8.013,0.001,28.928,gaussian_0.20,1775619,131276800,7.443,0,84.15011408792898,B3,22.387979366001673
,,,7.87,0.6434074074074074,8.009,0.001,28.884,clean,1775619,124624384,7.456,0,84.29687108617983,B3,22.395344807002402
,,,7.158,0.665283950617284,6.781,0.012,27.112,gaussian_0.05,1710083,143434752,6.814,0,78.59697179448298,Gated,23.329819388000033
,,,7.15,0.6654444444444445,6.776,0.013,27.099,gaussian_0.10,1710083,143434752,6.812,0,78.32106854694601,Gated,23.695030417999078
,,,7.137,0.6651358024691358,6.773,0.013,27.124,gaussian_0.20,1710083,143434752,6.798,0,78.07059997295048,Gated,23.699662406001153
,,,7.155,0.6654567901234568,6.785,0.012,27.098,clean,1710083,137077248,6.809,0,78.8313440794983,Gated,23.33993965300033
0.7435189671814442,2.293452732885877,0.6146708337279657,8.037,0.639074074074074,8.146,0.009,29.235,delete_least_attended,1775619,113478144,7.657,0,54.23523751565487,P1,28.856162280000717
0.7426138754623631,2.107556518788139,0.5637390532841285,8.043,0.6394444444444445,8.126,0.009,29.205,delete_most_attended,1775619,113478144,7.677,0,53.70859651171384,P1,29.069208495002385
1.0115390283366044,2.3143086284399033,0.6021164801592628,8.031,0.6391111111111111,8.147,0.009,29.232,gaussian_0.05,1775619,120130560,7.662,0,56.31763684081068,P1,28.164523122999526
1.0110428119078279,2.314280841499567,0.6021151722719272,8.032,0.639074074074074,8.142,0.009,29.235,gaussian_0.10,1775619,120130560,7.68,0,53.814635637361675,P1,29.714551666998887
1.0091884390761454,2.3141941279172897,0.6021182645733157,8.04,0.6390864197530863,8.144,0.009,29.234,gaussian_0.20,1775619,120130560,7.678,0,52.757541701584806,P1,30.323401523997745
1.0117093411584694,2.3143187450865903,0.6021175030618906,8.032,0.6389876543209877,8.142,0.009,29.242,clean,1775619,113478144,7.658,0,42.14370563648292,P1,34.23273052500008
